town,breast_cancer_rate,breast_cancer_number,HIV_rate,HIV_number,poverty_rate
NORTHAMPTON,142.5,119,149.3,43,14.2
NORTHBOROUGH,131,51,47.8,7,2.2
NORTHBRIDGE,158.2,62,56.4,8,
NORTHFIELD,158.2,62,0,0,8.6
NORTON,149.7,59,83.7,16,
NORWELL,115.2,37,,,
NORWOOD,130.2,131,122.9,35,7.9
OAK BLUFFS,104.2,13,237.2,9,
OAKHAM,191,8,,,
ORANGE,101,24,,,14.4
ORLEANS,157.8,59,154.8,10,7.4
OTIS,,,0,0,
OXFORD,127.2,48,65.6,9,2.8
PALMER,118.4,48,69.8,9,
PAXTON,148.7,20,0,0,
PEABODY,133.8,243,100.1,51,6.3
PELHAM,167.9,6,0,0,
PEMBROKE,154.5,75,71.9,13,
PEPPERELL,170.9,45,,,4.4
PERU,359.7,6,0,0,
PETERSHAM,229.7,10,,,1.7
PHILLIPSTON,244.4,7,0,0,
PITTSFIELD,149.1,226,147.9,65,17.1
PLAINFIELD,,,0,0,
PLAINVILLE,114.5,26,75.1,6,
PLYMOUTH,169,259,85.8,47,10.6
PLYMPTON,115.7,8,,,
PRINCETON,131.4,13,,,
PROVINCETOWN,179.8,19,9116.2,314,12.1
QUINCY,129.1,366,223.3,202,10.5
RANDOLPH,135.1,129,258.1,84,10.8
RAYNHAM,137.9,55,52.1,7,
READING,177.2,131,60.4,14,1.7
REHOBOTH,155,42,53.4,6,
REVERE,141.7,201,320.5,146,15.4
RICHMOND,141.7,10,0,0,
ROCHESTER,151.7,22,,,
ROCKLAND,123,66,67.3,12,
ROCKPORT,127.6,41,,,4.3
ROWE,552.5,5,0,0,
ROWLEY,128.8,23,102.9,6,4.3
ROYALSTON,,,0,0,
RUSSELL,,,0,0,2.3
RUTLAND,135,23,94.5,7,3.2
SALEM,136.3,171,256.9,107,15.5
SALISBURY,143.8,37,96.8,8,10.1
SANDISFIELD,,,0,0,
SANDWICH,153.6,96,77.3,16,3.3
SAUGUS,144.4,138,89.3,24,5
SAVOY,,,0,0,
SCITUATE,138.4,87,,,4.4
SEEKONK,168.4,69,65.9,9,
SHARON,149.8,78,52.1,9,4.2
SHEFFIELD,216.1,25,,,
SHELBURNE,125.7,10,0,0,
SHERBORN,161.9,18,0,0,
SHIRLEY,92.5,16,122.3,9,19.8
SHREWSBURY,127.9,124,81.4,27,
SHUTESBURY,189.5,7,0,0,
SOMERSET,98,74,48.5,9,6.7
SOMERVILLE,109,200,421.9,318,14.8
SOUTH HADLEY,169.9,100,70.3,12,
SOUTHAMPTON,142.9,23,,,
SOUTHBOROUGH,146.1,38,94.6,9,
SOUTHBRIDGE,112.4,57,177.1,31,
SOUTHWICK,163.8,43,,,
SPENCER,118.7,38,74.5,9,12.6
SPRINGFIELD,125,511,640.8,1002,29.4
STERLING,149.4,27,,,
STOCKBRIDGE,68.3,7,,,
STONEHAM,143.4,114,115.8,25,4.4
STOUGHTON,143.8,129,164.3,44,
STOW,160,31,,,
STURBRIDGE,147.6,40,68,6,2.4
SUDBURY,170.9,80,58.7,10,
SUNDERLAND,136.4,10,,,
SUTTON,127.1,28,78,7,
SWAMPSCOTT,144.5,75,98,14,4.8
